_id,ilce_adi,mahalle_adi,mahalle_uavt,1980_oncesi,1980-2000_arasi,2000_sonrasi,1-4 kat_arasi,5-9 kat_arasi,9-19 kat_arasi,_id_s,ilce_adi_s,mahalle_adi_s,mahalle_koy_uavt,cok_agir_hasarli_bina_sayisi,agir_hasarli_bina_sayisi,orta_hasarli_bina_sayisi,hafif_hasarli_bina_sayisi,can_kaybi_sayisi,agir_yarali_sayisi,hastanede_tedavi_sayisi,hafif_yarali_sayisi,dogalgaz_boru_hasari,icme_suyu_boru_hasari,atik_su_boru_hasari,gecici_barinma,n_bldg,heavy,dmg_any,heavy_ratio
1,ADALAR,BURGAZADA,40139,433,214,173,802,18,0,1,ADALAR,BURGAZADA,40139,54,99,256,241,8,6,24,42,0,0,1,398,820,153,650,0.18658536585365854
2,ADALAR,HEYBELÝADA,40142,836,347,212,1359,36,0,2,ADALAR,HEYBELÝADA,40142,101,175,423,393,25,21,66,113,1,1,2,763,1395,276,1092,0.1978494623655914
3,ADALAR,KINALIADA,40143,610,244,158,923,89,0,3,ADALAR,KINALIADA,40143,53,97,287,302,5,3,15,27,0,1,1,420,1012,150,739,0.1482213438735178
4,ADALAR,MADEN,40140,863,510,308,1637,44,0,4,ADALAR,MADEN,40140,104,192,483,484,22,18,64,113,1,1,2,847,1681,296,1263,0.17608566329565734
5,ADALAR,NÝZAM,40141,842,426,217,1434,51,0,5,ADALAR,NÝZAM,40141,101,180,445,422,16,13,48,83,1,2,2,687,1485,281,1148,0.1892255892255892
6,ARNAVUTKÖY,ADNAN MENDERES,40490,0,244,121,353,12,0,6,ARNAVUTKÖY,ADNAN MENDERES,40490,1,3,21,57,0,0,1,3,0,0,0,89,365,4,82,0.010958904109589041
7,ARNAVUTKÖY,ANADOLU,99359,0,1360,845,1647,555,3,7,ARNAVUTKÖY,ANADOLU,99359,2,13,108,371,0,0,8,26,1,1,1,659,2205,15,494,0.006802721088435374
8,ARNAVUTKÖY,ARNAVUTKÖY MERKEZ,40478,0,685,589,797,470,7,8,ARNAVUTKÖY,ARNAVUTKÖY MERKEZ,40478,1,6,51,199,0,0,2,10,0,1,1,273,1274,7,257,0.005494505494505495
9,ARNAVUTKÖY,ATATÜRK,40482,0,565,216,754,27,0,9,ARNAVUTKÖY,ATATÜRK,40482,1,6,49,129,0,0,2,8,0,0,0,209,781,7,185,0.008962868117797696
10,ARNAVUTKÖY,BAKLALI,191981,0,332,184,515,1,0,10,ARNAVUTKÖY,BAKLALI,191981,1,5,23,65,0,0,0,0,0,0,0,26,516,6,94,0.011627906976744186
