_id,ilce_adi,mahalle_adi,mahalle_uavt,1980_oncesi,1980-2000_arasi,2000_sonrasi,1-4 kat_arasi,5-9 kat_arasi,9-19 kat_arasi,lon,lat,area_km2,match,vs30_point,vs30_mean,vs30_min,vs30_max,vs30_used,vs30_source,vs30_flag
1,ADALAR,BURGAZADA,40139,433,214,173,802,18,0,29.057438,40.879836,1.604,name+district,600.0,535.9,368.8160095214844,600.0,535.9,polygon mean,water
2,ADALAR,HEYBELİADA,40142,836,347,212,1359,36,0,29.085813,40.874733,2.626,name+district,600.0,500.4,273.81951904296875,600.0,500.4,polygon mean,water
3,ADALAR,KINALIADA,40143,610,244,158,923,89,0,29.048671,40.908741,1.364,name+district,343.7,459.4,291.628662109375,600.0,459.4,polygon mean,ok
4,ADALAR,MADEN,40140,863,510,308,1637,44,0,29.129618,40.857547,2.519,name+district,600.0,547.9,395.1453857421875,600.0,547.9,polygon mean,water
5,ADALAR,NİZAM,40141,842,426,217,1434,51,0,29.118961,40.857719,3.221,name+district,480.2,512.9,394.7971496582031,600.0,512.9,polygon mean,ok
6,ARNAVUTKÖY,ADNAN MENDERES,40490,0,244,121,353,12,0,28.70017,41.210994,2.263,name+spatial,407.5,382.3,317.8178405761719,446.5809326171875,382.3,polygon mean,ok
7,ARNAVUTKÖY,ANADOLU,99359,0,1360,845,1647,555,3,28.750137,41.186312,1.568,name+spatial,454.0,413.4,292.4180603027344,498.0849304199219,413.4,polygon mean,ok
8,ARNAVUTKÖY,ARNAVUTKÖY MERKEZ,40478,0,685,589,797,470,7,28.739818,41.172109,6.813,name+spatial,419.3,402.4,245.2178955078125,498.8721618652344,402.4,polygon mean,ok
9,ARNAVUTKÖY,ATATÜRK,40482,0,565,216,754,27,0,28.760521,41.192193,0.638,name+spatial,447.3,396.1,296.8021240234375,498.0849304199219,396.1,polygon mean,ok
10,ARNAVUTKÖY,BAKLALI,191981,0,332,184,515,1,0,28.658544,41.266499,17.767,name+spatial,301.8,382.6,214.70777893066406,600.0,382.6,polygon mean,ok
11,ARNAVUTKÖY,BALABAN,191983,0,242,53,295,0,0,28.576427,41.347827,46.316,name+district,600.0,440.9,222.66761779785156,600.0,440.9,polygon mean,water
12,ARNAVUTKÖY,BOĞAZKÖY İSTİKLAL,40483,90,864,540,1452,42,0,28.794991,41.179893,29.388,name+spatial,379.6,388.6,189.89004516601562,535.6158447265625,388.6,polygon mean,ok
13,ARNAVUTKÖY,BOLLUCA,40487,0,578,185,716,47,0,28.778468,41.222365,11.986,name+spatial,291.5,353.0,223.01136779785156,479.9661560058594,353.0,polygon mean,ok
14,ARNAVUTKÖY,BOYALIK,191985,0,313,205,514,4,0,28.622913,41.278232,28.615,name+spatial,331.5,391.2,214.70777893066406,600.0,391.2,polygon mean,ok
15,ARNAVUTKÖY,ÇİLİNGİR,40494,0,315,176,485,6,0,28.670336,41.190144,12.903,name+spatial,518.6,407.6,204.60546875,552.3568115234375,407.6,polygon mean,ok
16,ARNAVUTKÖY,DELİKLİKAYA,40910,0,291,279,478,36,56,28.658355,41.114425,5.769,name+spatial,483.8,459.8,311.8088073730469,590.4580078125,459.8,polygon mean,ok
17,ARNAVUTKÖY,DURSUNKÖY,40911,0,204,72,276,0,0,28.64018,41.207377,27.172,name+spatial,312.2,409.3,204.60546875,552.3568115234375,409.3,polygon mean,ok
18,ARNAVUTKÖY,DURUSU,40915,0,208,43,251,0,0,28.680705,41.303064,0.361,name+spatial,407.2,323.9,269.1236572265625,407.17108154296875,323.9,polygon mean,ok
19,ARNAVUTKÖY,FATİH,40495,0,219,198,406,11,0,28.695294,41.224675,2.534,name+spatial,422.9,378.0,317.8178405761719,445.0790100097656,378.0,polygon mean,ok
20,ARNAVUTKÖY,HACIMAŞLI,191975,1,137,107,244,1,0,28.730342,41.144793,31.113,name+spatial,532.5,435.6,227.38070678710938,553.5989990234375,435.6,polygon mean,ok
21,ARNAVUTKÖY,HADIMKÖY,40913,0,418,793,909,229,73,28.621396,41.163839,10.049,name+spatial,365.7,378.1,246.32208251953125,529.1256713867188,378.1,polygon mean,ok
22,ARNAVUTKÖY,HARAÇÇI,40489,0,813,622,1356,79,0,28.696591,41.18343,8.71,name+spatial,275.3,365.9,227.38070678710938,463.1891174316406,365.9,polygon mean,ok
23,ARNAVUTKÖY,HASTANE,40912,0,434,391,578,237,10,28.604568,41.157587,5.65,name+district,371.9,397.3,254.55062866210938,515.2669677734375,397.3,polygon mean,ok
24,ARNAVUTKÖY,HİCRET,40486,0,221,113,323,11,0,28.757828,41.200808,0.976,name+spatial,296.8,383.2,296.8021240234375,478.4377136230469,383.2,polygon mean,ok
25,ARNAVUTKÖY,İMRAHOR,40481,0,1141,471,1585,27,0,28.754263,41.256786,32.858,name+spatial,311.4,395.6,223.01136779785156,600.0,395.6,polygon mean,ok
26,ARNAVUTKÖY,İSLAMBEY,40479,0,1184,481,1452,204,9,28.745544,41.196548,1.586,name+spatial,484.3,402.5,283.90338134765625,484.2593078613281,402.5,polygon mean,ok
27,ARNAVUTKÖY,KARABURUN,191987,0,404,710,1110,4,0,28.659533,41.341422,7.583,name+spatial,360.3,442.2,222.66761779785156,600.0,442.2,polygon mean,ok
28,ARNAVUTKÖY,KARLIBAYIR,40488,0,669,465,944,183,7,28.716898,41.180277,1.295,name+spatial,409.8,383.0,289.7459411621094,441.17926025390625,383.0,polygon mean,ok
29,ARNAVUTKÖY,MAREŞAL FEVZİ ÇAKMAK,40493,0,458,450,881,27,0,28.720687,41.208708,2.575,name+spatial,313.2,395.8,313.200439453125,477.58160400390625,395.8,polygon mean,ok
30,ARNAVUTKÖY,MAVİGÖL,40485,0,420,520,907,33,0,28.762723,41.209948,1.587,name+spatial,384.2,350.0,296.8021240234375,396.8544616699219,350.0,polygon mean,ok
31,ARNAVUTKÖY,MEHMET AKİF ERSOY,40491,0,255,218,465,8,0,28.708935,41.20288,2.114,name+spatial,416.5,377.1,297.2890930175781,446.5809326171875,377.1,polygon mean,ok
32,ARNAVUTKÖY,MUSTAFA KEMAL PAŞA,99358,0,707,273,843,137,0,28.728082,41.189526,1.319,name+spatial,410.6,380.2,305.1224365234375,429.1566162109375,380.2,polygon mean,ok
