# focal mechanisms (psmeca -Sa: lon lat depth strike dip rake mag)
# locations+depths+magnitudes from the real IEB catalogue (186 largest, 1973-2025);
# orientations representative of the documented mix (74% dextral strike-slip,
# 17% normal, 9% reverse); M>=5.5 forced strike-slip.
29.8640 40.7480 17.0 105 89 -179 7.6
28.1897 40.8342 12.7 67 85 -167 6.2
27.2220 40.3240 10.0 69 84 -177 6.1
28.1502 40.9035 8.0 113 88 -173 5.7
28.2270 40.8570 15.6 103 54 -95 5.3
29.3460 40.7390 10.0 97 82 -169 5.2
29.1380 40.6180 10.0 87 39 68 5.2
29.9490 40.7110 10.0 61 84 -178 5.2
27.7520 40.8020 16.4 56 47 68 5.1
28.8480 40.4371 10.1 64 78 175 5.1
28.4829 40.8888 10.0 91 46 -91 5.0
29.1070 40.4240 9.3 90 86 -169 5.0
29.1440 40.7180 13.1 95 39 89 5.0
29.9700 40.7410 10.0 83 37 98 5.0
27.9515 40.7641 10.0 79 83 -170 5.0
28.1090 40.8010 10.0 63 85 -176 5.0
28.2394 40.9289 10.0 59 55 -75 4.9
27.9210 40.8480 14.9 66 80 -179 4.9
28.1454 40.8578 10.0 68 80 179 4.9
28.2741 40.8489 10.0 108 79 -171 4.9
27.5890 40.6440 10.0 107 79 -176 4.8
28.0590 40.2360 10.0 90 78 169 4.8
28.8780 40.8160 10.0 101 81 177 4.8
29.1630 40.7520 11.1 86 88 -169 4.7
27.6720 40.8560 23.6 69 78 177 4.7
27.5720 40.7180 10.0 111 87 174 4.6
29.0870 40.7700 10.0 98 86 -172 4.6
29.1170 40.6480 10.0 96 83 171 4.6
28.3210 40.3910 11.1 72 79 -173 4.6
27.9282 40.2083 12.1 63 81 167 4.6
27.7850 40.7980 11.2 86 88 -179 4.6
29.9540 40.2470 5.0 63 84 -170 4.5
29.9540 40.7080 10.0 64 79 -170 4.5
28.9280 40.2110 14.8 83 59 -87 4.5
29.2740 40.5800 10.0 92 78 168 4.5
28.2332 40.8471 10.0 96 84 175 4.5
28.1699 40.8490 10.0 74 85 175 4.5
27.8920 40.8280 11.3 74 37 97 4.5
29.0170 40.6230 21.0 85 88 -168 4.5
29.2970 40.6070 10.0 61 85 -178 4.5
28.0200 40.2420 10.0 65 84 -180 4.5
29.2000 40.6080 10.0 64 47 -112 4.5
27.7740 40.8220 23.3 73 81 178 4.5
29.9420 40.7110 10.0 90 81 -166 4.5
27.4820 40.4930 10.0 111 51 -82 4.5
27.3670 40.5970 8.6 91 88 169 4.5
28.4987 40.8412 10.0 108 81 -169 4.5
27.7070 40.8560 10.0 101 80 174 4.5
28.8520 40.4350 10.0 72 82 -175 4.5
27.9198 40.8510 9.6 115 50 -102 4.5
27.4820 40.4700 10.0 119 41 -83 4.5
27.7020 41.0360 27.8 106 78 175 4.5
29.3220 40.6960 11.0 64 60 -107 4.4
28.0878 40.8777 10.0 84 86 -178 4.4
29.1460 40.2627 11.5 66 88 -175 4.4
27.4427 40.3423 14.1 68 78 176 4.4
27.6950 40.8460 16.0 90 83 167 4.4
29.2313 40.7105 10.0 80 88 -167 4.4
26.9950 40.3140 11.3 62 82 -175 4.4
28.1100 40.8470 11.2 97 82 -178 4.4
28.7644 40.8751 9.3 108 89 -173 4.4
28.1814 40.8568 10.0 111 81 171 4.4
27.4040 40.7690 10.0 111 44 -94 4.4
27.7650 40.8200 12.7 68 58 -76 4.4
27.3670 40.3220 6.7 83 85 -173 4.3
27.3635 40.6937 10.0 74 80 -174 4.3
28.9250 40.4300 12.1 81 78 179 4.3
27.8564 40.5104 11.8 71 88 176 4.3
28.4298 40.8537 10.0 105 88 172 4.3
28.1964 40.8151 10.0 96 82 174 4.3
28.4360 40.4250 17.2 60 55 -97 4.3
29.0110 40.6210 11.2 88 85 -170 4.3
28.9761 40.6063 10.0 78 41 -71 4.3
28.3191 40.7814 10.0 74 84 -166 4.3
29.2125 40.7283 10.0 58 52 -98 4.3
27.9860 40.4290 10.0 103 83 -166 4.3
27.3440 40.7700 7.4 66 88 171 4.3
28.8740 40.6880 10.0 62 83 -179 4.3
29.0587 40.7300 12.4 104 86 -168 4.2
26.9768 40.2968 12.0 101 80 178 4.2
28.1420 40.7990 23.7 121 51 96 4.2
29.0610 40.7000 10.0 96 79 -169 4.2
29.1940 40.6940 10.0 90 53 -99 4.2
29.1965 40.4645 10.0 98 84 171 4.2
29.1800 40.7118 7.4 97 82 -173 4.2
28.9040 40.4290 23.0 70 84 177 4.2
29.8070 40.3070 33.0 113 40 76 4.2
28.9725 40.5313 11.0 103 85 175 4.2
29.1300 40.5550 10.0 84 85 -180 4.2
28.9550 40.5950 10.0 111 59 -78 4.2
28.9770 40.3950 10.7 96 81 -175 4.2
29.2180 40.8370 8.8 94 79 -167 4.2
29.1100 40.7090 10.0 71 40 105 4.2
27.0261 40.3524 10.0 68 79 -166 4.2
29.1213 40.4095 5.7 94 86 179 4.1
29.7630 40.7100 11.8 117 45 101 4.1
28.2850 40.8890 9.6 82 48 -108 4.1
29.9470 40.7220 10.0 103 58 -72 4.1
27.7030 40.6080 16.0 117 56 -104 4.1
29.6440 40.3430 33.0 104 86 179 4.1
27.0809 40.3750 10.0 91 88 169 4.1
27.8500 40.8590 10.0 67 83 -179 4.1
27.2180 40.3410 10.0 91 81 -173 4.1
27.1920 40.2850 10.0 86 56 -70 4.1
29.3450 40.7130 10.0 83 88 178 4.1
27.9410 40.2470 15.5 69 87 179 4.1
27.5314 40.4965 11.8 101 87 174 4.1
29.2147 40.7032 6.8 103 83 173 4.1
29.2250 40.4080 28.4 84 86 173 4.1
29.2510 40.4200 21.6 78 88 168 4.1
28.9940 40.7510 31.5 68 82 170 4.1
27.2980 40.7000 12.7 70 48 -98 4.1
26.9280 40.2130 7.8 86 79 -171 4.1
27.3300 40.2510 10.0 81 86 -168 4.1
29.0170 40.6500 8.5 61 88 -178 4.1
27.4480 40.3690 6.0 88 59 -100 4.1
29.9940 40.7200 10.0 81 88 -171 4.1
29.1620 40.6150 10.0 90 86 -172 4.1
29.2630 40.4890 11.4 109 83 174 4.1
29.8010 40.7110 10.0 87 82 -175 4.1
28.3900 40.5860 6.4 104 86 -170 4.0
29.9850 40.5420 10.0 111 89 -179 4.0
27.0100 40.5690 18.6 110 85 -175 4.0
27.9420 40.5920 10.0 61 42 108 4.0
27.9030 40.8540 25.9 70 81 175 4.0
29.1837 40.3824 10.0 85 82 -169 4.0
28.9850 40.9600 10.0 75 88 178 4.0
29.3190 40.2030 4.7 113 49 -78 4.0
27.4930 40.7730 10.0 63 88 172 4.0
27.9590 40.8310 10.0 64 89 167 4.0
29.9750 40.3950 19.9 62 81 -171 4.0
28.2722 40.8719 10.0 98 45 -91 4.0
27.9520 40.4050 11.7 66 88 179 4.0
29.9640 40.7360 10.0 74 82 -177 4.0
28.8450 40.4130 14.0 113 86 -172 4.0
27.6140 40.7060 10.0 69 81 -178 4.0
29.7080 40.6940 10.0 111 84 -169 4.0
28.5560 40.6870 19.1 81 88 172 4.0
29.0200 40.7810 12.5 93 87 173 4.0
27.1790 40.2940 12.6 98 81 -175 4.0
27.7160 41.0030 10.0 104 87 -178 4.0
29.2073 40.6243 10.0 62 84 -175 4.0
28.8950 40.4390 5.1 64 85 166 4.0
27.3350 40.7230 10.0 83 83 178 4.0
29.0860 40.5970 10.0 80 88 179 4.0
27.8000 40.5000 10.0 68 80 -179 4.0
27.9123 40.8478 7.4 96 85 -168 4.0
29.0570 40.4070 10.0 109 43 106 4.0
27.9800 40.3880 13.9 96 40 77 4.0
27.3940 40.6990 33.0 111 81 179 3.9
28.1200 40.5660 12.8 108 51 -82 3.9
29.1790 40.5640 10.0 79 83 175 3.9
28.1230 40.8190 9.7 89 47 -102 3.9
29.0210 40.4590 5.0 75 85 -169 3.9
29.8780 40.6750 12.6 94 44 75 3.9
29.0480 40.6670 0.1 73 82 -178 3.9
29.1590 40.5990 10.0 73 83 -174 3.9
27.3760 40.6330 21.5 85 78 174 3.9
29.9650 40.6420 10.0 83 45 -82 3.9
28.9360 40.2090 10.0 80 84 176 3.9
29.1640 40.5660 10.0 115 84 176 3.9
29.0040 40.4080 10.3 85 81 172 3.9
27.2700 40.7400 10.0 105 40 102 3.9
